,id,name,amenity,geometry
0,331522003,bule-bar,cafe,POINT (-58.5057209 -34.6395072)
1,340141702,Café Tortoni,cafe,POINT (-58.3781432 -34.6086934)
2,440909033,Dulce Hora,cafe,POINT (-58.5241588 -34.6342214)
3,668331794,Café La Biela,cafe,POINT (-58.3908251 -34.5878729)
4,724259206,La Veneciana,cafe,POINT (-58.3649969 -34.6207201)
5,724607071,Tienda,cafe,POINT (-58.3997708 -34.5919425)
6,790044352,La Molienda,cafe,POINT (-58.3838451 -34.6036904)
7,794146720,Tostado,cafe,POINT (-58.4629118 -34.5415316)
8,876504528,Tolón,cafe,POINT (-58.4100666 -34.5892488)
9,905690272,Café Martínez,cafe,POINT (-58.4226197 -34.5807766)
10,915725481,Havanna,cafe,POINT (-58.3793759 -34.603727)
11,917426459,Café Havanna,cafe,POINT (-58.3802608 -34.5988632)
12,1042029873,N/A,cafe,POINT (-58.3991995 -34.707759)
13,1107970180,Café Martínez,cafe,POINT (-58.3925363 -34.6033081)
14,1107970184,Starbucks,cafe,POINT (-58.392943 -34.6007107)
15,1108412282,Los Arcos,cafe,POINT (-58.3931478 -34.5991995)
16,1109818961,The Coffee Store,cafe,POINT (-58.3936269 -34.6042479)
17,1112458099,Havanna,cafe,POINT (-58.3913963 -34.5994206)
18,1112458168,Paluchino,cafe,POINT (-58.3939689 -34.6046119)
19,1112458251,Teatro La Casona,cafe,POINT (-58.3946034 -34.6043595)
20,1112458300,El Cafe de Tomás,cafe,POINT (-58.3941461 -34.6033143)
21,1112460092,El Gallego,cafe,POINT (-58.4555047 -34.5869693)
22,1114122393,Priamo,cafe,POINT (-58.3954415 -34.6041986)
23,1134640757,Mar Azul,cafe,POINT (-58.3910932 -34.6020026)
24,1134640775,Establecimiento General de Café,cafe,POINT (-58.3913207 -34.602993)
25,1134640824,Sophia,cafe,POINT (-58.3914472 -34.6020429)
26,1144062579,Cafe Martinez,cafe,POINT (-58.3976695 -34.5970828)
27,1144062583,Posta,cafe,POINT (-58.3986527 -34.5969743)
28,1144062584,Havanna,cafe,POINT (-58.397252 -34.5984792)
29,1144102363,Open 25 hs!,cafe,POINT (-58.3989887 -34.59695)
30,1144102366,Evaristo,cafe,POINT (-58.3989311 -34.5968987)
